subj,session,trial,rt,object_response,category,condition,imagename
alexnet,1,1,0,bicycle,airplane,1,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-bicycle2.png
alexnet,1,2,0,chair,airplane,2,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-chair2.png
alexnet,1,3,0,clock,airplane,3,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-clock1.png
alexnet,1,4,0,elephant,airplane,4,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-elephant1.png
alexnet,1,5,0,airplane,airplane,5,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-airplane1.png
alexnet,1,6,0,bear,airplane,6,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-bear3.png
alexnet,1,7,0,truck,airplane,7,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-boat3.png
alexnet,1,8,0,car,airplane,8,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-car3.png
alexnet,1,9,0,cat,airplane,9,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-cat2.png
alexnet,1,10,0,dog,airplane,10,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-dog3.png
alexnet,1,11,0,elephant,airplane,11,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-elephant1.png
alexnet,1,12,0,knife,airplane,12,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-knife3.png
alexnet,1,13,0,airplane,airplane,13,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-oven2.png
alexnet,1,14,0,car,airplane,14,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-truck1.png
alexnet,1,15,0,bear,airplane,15,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bear1.png
alexnet,1,16,0,bicycle,airplane,16,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bicycle1.png
alexnet,1,17,0,bird,airplane,17,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bird3.png
alexnet,1,18,0,bottle,airplane,18,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bottle1.png
alexnet,1,19,0,cat,airplane,19,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-cat1.png
