subj,session,trial,rt,object_response,category,condition,imagename
resnet50_trained_on_SIN,1,1,0,bicycle,airplane,1,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-bicycle2.png
resnet50_trained_on_SIN,1,2,0,boat,airplane,2,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-chair2.png
resnet50_trained_on_SIN,1,3,0,clock,airplane,3,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-clock1.png
resnet50_trained_on_SIN,1,4,0,clock,airplane,4,../stimuli/style-transfer-preprocessed-512/airplane/airplane1-elephant1.png
resnet50_trained_on_SIN,1,5,0,airplane,airplane,5,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-airplane1.png
resnet50_trained_on_SIN,1,6,0,cat,airplane,6,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-bear3.png
resnet50_trained_on_SIN,1,7,0,truck,airplane,7,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-boat3.png
resnet50_trained_on_SIN,1,8,0,knife,airplane,8,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-car3.png
resnet50_trained_on_SIN,1,9,0,cat,airplane,9,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-cat2.png
resnet50_trained_on_SIN,1,10,0,dog,airplane,10,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-dog3.png
resnet50_trained_on_SIN,1,11,0,chair,airplane,11,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-elephant1.png
resnet50_trained_on_SIN,1,12,0,chair,airplane,12,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-knife3.png
resnet50_trained_on_SIN,1,13,0,chair,airplane,13,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-oven2.png
resnet50_trained_on_SIN,1,14,0,oven,airplane,14,../stimuli/style-transfer-preprocessed-512/airplane/airplane10-truck1.png
resnet50_trained_on_SIN,1,15,0,bird,airplane,15,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bear1.png
resnet50_trained_on_SIN,1,16,0,keyboard,airplane,16,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bicycle1.png
resnet50_trained_on_SIN,1,17,0,knife,airplane,17,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bird3.png
resnet50_trained_on_SIN,1,18,0,oven,airplane,18,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-bottle1.png
resnet50_trained_on_SIN,1,19,0,cat,airplane,19,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-cat1.png
resnet50_trained_on_SIN,1,20,0,dog,airplane,20,../stimuli/style-transfer-preprocessed-512/airplane/airplane2-dog1.png
resnet50_trained_on_SIN,1,21,0,airplane,airplane,21,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-airplane2.png
resnet50_trained_on_SIN,1,22,0,knife,airplane,22,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-car1.png
resnet50_trained_on_SIN,1,23,0,dog,airplane,23,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-cat1.png
resnet50_trained_on_SIN,1,24,0,clock,airplane,24,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-chair3.png
resnet50_trained_on_SIN,1,25,0,clock,airplane,25,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-clock1.png
resnet50_trained_on_SIN,1,26,0,dog,airplane,26,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-dog1.png
resnet50_trained_on_SIN,1,27,0,clock,airplane,27,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-elephant1.png
resnet50_trained_on_SIN,1,28,0,chair,airplane,28,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-keyboard2.png
resnet50_trained_on_SIN,1,29,0,oven,airplane,29,../stimuli/style-transfer-preprocessed-512/airplane/airplane3-oven1.png
resnet50_trained_on_SIN,1,30,0,airplane,airplane,30,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-airplane1.png
resnet50_trained_on_SIN,1,31,0,knife,airplane,31,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-bear3.png
resnet50_trained_on_SIN,1,32,0,bicycle,airplane,32,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-bicycle2.png
resnet50_trained_on_SIN,1,33,0,knife,airplane,33,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-bird3.png
resnet50_trained_on_SIN,1,34,0,truck,airplane,34,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-boat3.png
resnet50_trained_on_SIN,1,35,0,keyboard,airplane,35,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-bottle1.png
resnet50_trained_on_SIN,1,36,0,oven,airplane,36,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-car1.png
resnet50_trained_on_SIN,1,37,0,clock,airplane,37,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-cat3.png
resnet50_trained_on_SIN,1,38,0,cat,airplane,38,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-dog2.png
resnet50_trained_on_SIN,1,39,0,keyboard,airplane,39,../stimuli/style-transfer-preprocessed-512/airplane/airplane4-elephant1.png
