subj,session,trial,rt,object_response,category,condition,imagename
googlenet,1,1,0,knife,airplane,1,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-bicycle2.png
googlenet,1,2,0,bottle,airplane,2,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-chair2.png
googlenet,1,3,0,elephant,airplane,3,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-clock1.png
googlenet,1,4,0,elephant,airplane,4,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-elephant1.png
googlenet,1,5,0,oven,airplane,5,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-airplane1.png
googlenet,1,6,0,clock,airplane,6,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-bear3.png
googlenet,1,7,0,clock,airplane,7,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-boat3.png
googlenet,1,8,0,oven,airplane,8,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-car3.png
googlenet,1,9,0,oven,airplane,9,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-cat2.png
googlenet,1,10,0,oven,airplane,10,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-dog3.png
googlenet,1,11,0,knife,airplane,11,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-elephant1.png
googlenet,1,12,0,oven,airplane,12,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-knife3.png
googlenet,1,13,0,keyboard,airplane,13,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-oven2.png
googlenet,1,14,0,bottle,airplane,14,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-truck1.png
googlenet,1,15,0,clock,airplane,15,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bear1.png
googlenet,1,16,0,chair,airplane,16,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bicycle1.png
googlenet,1,17,0,bottle,airplane,17,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bird3.png
googlenet,1,18,0,keyboard,airplane,18,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bottle1.png
googlenet,1,19,0,knife,airplane,19,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-cat1.png
googlenet,1,20,0,knife,airplane,20,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-dog1.png
googlenet,1,21,0,knife,airplane,21,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-airplane2.png
googlenet,1,22,0,elephant,airplane,22,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-car1.png
googlenet,1,23,0,clock,airplane,23,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-cat1.png
googlenet,1,24,0,oven,airplane,24,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-chair3.png
googlenet,1,25,0,bottle,airplane,25,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-clock1.png
googlenet,1,26,0,airplane,airplane,26,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-dog1.png
googlenet,1,27,0,knife,airplane,27,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-elephant1.png
googlenet,1,28,0,clock,airplane,28,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-keyboard2.png
googlenet,1,29,0,keyboard,airplane,29,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-oven1.png
googlenet,1,30,0,knife,airplane,30,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-airplane1.png
googlenet,1,31,0,oven,airplane,31,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bear3.png
googlenet,1,32,0,clock,airplane,32,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bicycle2.png
googlenet,1,33,0,oven,airplane,33,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bird3.png
googlenet,1,34,0,bottle,airplane,34,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-boat3.png
googlenet,1,35,0,knife,airplane,35,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bottle1.png
googlenet,1,36,0,bicycle,airplane,36,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-car1.png
googlenet,1,37,0,bottle,airplane,37,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-cat3.png
googlenet,1,38,0,knife,airplane,38,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-dog2.png
googlenet,1,39,0,chair,airplane,39,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-elephant1.png
googlenet,1,40,0,bottle,airplane,40,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-keyboard3.png
googlenet,1,41,0,oven,airplane,41,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-knife1.png
googlenet,1,42,0,knife,airplane,42,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-truck2.png
googlenet,1,43,0,bicycle,airplane,43,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bear2.png
googlenet,1,44,0,bottle,airplane,44,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bicycle1.png
googlenet,1,45,0,oven,airplane,45,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bird2.png
googlenet,1,46,0,oven,airplane,46,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-boat3.png
googlenet,1,47,0,bottle,airplane,47,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bottle3.png
googlenet,1,48,0,knife,airplane,48,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-chair3.png
googlenet,1,49,0,knife,airplane,49,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-dog3.png
googlenet,1,50,0,knife,airplane,50,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-knife1.png
googlenet,1,51,0,knife,airplane,51,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-oven3.png
googlenet,1,52,0,oven,airplane,52,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-bear3.png
googlenet,1,53,0,clock,airplane,53,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-bottle2.png
googlenet,1,54,0,elephant,airplane,54,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-chair3.png
googlenet,1,55,0,knife,airplane,55,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-keyboard3.png
googlenet,1,56,0,elephant,airplane,56,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-knife1.png
googlenet,1,57,0,bicycle,airplane,57,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-airplane3.png
googlenet,1,58,0,oven,airplane,58,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-bird3.png
googlenet,1,59,0,oven,airplane,59,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-boat2.png
googlenet,1,60,0,clock,airplane,60,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-bottle3.png
googlenet,1,61,0,bottle,airplane,61,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-car1.png
googlenet,1,62,0,bottle,airplane,62,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-cat3.png
googlenet,1,63,0,knife,airplane,63,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-clock3.png
googlenet,1,64,0,bottle,airplane,64,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-keyboard1.png
googlenet,1,65,0,bottle,airplane,65,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-truck1.png
googlenet,1,66,0,knife,airplane,66,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-bicycle3.png
googlenet,1,67,0,chair,airplane,67,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-bird1.png
googlenet,1,68,0,bottle,airplane,68,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-chair1.png
googlenet,1,69,0,knife,airplane,69,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-clock2.png
