subj,session,trial,rt,object_response,category,condition,imagename
resnet101,1,1,0,bottle,airplane,1,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-bicycle2.png
resnet101,1,2,0,bottle,airplane,2,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-chair2.png
resnet101,1,3,0,bottle,airplane,3,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-clock1.png
resnet101,1,4,0,knife,airplane,4,../stimuli/style-transfer-preprocessed-512\airplane\airplane1-elephant1.png
resnet101,1,5,0,bottle,airplane,5,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-airplane1.png
resnet101,1,6,0,bottle,airplane,6,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-bear3.png
resnet101,1,7,0,bottle,airplane,7,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-boat3.png
resnet101,1,8,0,bottle,airplane,8,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-car3.png
resnet101,1,9,0,bottle,airplane,9,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-cat2.png
resnet101,1,10,0,bottle,airplane,10,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-dog3.png
resnet101,1,11,0,bottle,airplane,11,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-elephant1.png
resnet101,1,12,0,bottle,airplane,12,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-knife3.png
resnet101,1,13,0,bottle,airplane,13,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-oven2.png
resnet101,1,14,0,bottle,airplane,14,../stimuli/style-transfer-preprocessed-512\airplane\airplane10-truck1.png
resnet101,1,15,0,bottle,airplane,15,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bear1.png
resnet101,1,16,0,bottle,airplane,16,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bicycle1.png
resnet101,1,17,0,bottle,airplane,17,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bird3.png
resnet101,1,18,0,knife,airplane,18,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-bottle1.png
resnet101,1,19,0,bottle,airplane,19,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-cat1.png
resnet101,1,20,0,bottle,airplane,20,../stimuli/style-transfer-preprocessed-512\airplane\airplane2-dog1.png
resnet101,1,21,0,bottle,airplane,21,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-airplane2.png
resnet101,1,22,0,bottle,airplane,22,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-car1.png
resnet101,1,23,0,bottle,airplane,23,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-cat1.png
resnet101,1,24,0,bottle,airplane,24,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-chair3.png
resnet101,1,25,0,bottle,airplane,25,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-clock1.png
resnet101,1,26,0,bottle,airplane,26,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-dog1.png
resnet101,1,27,0,bottle,airplane,27,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-elephant1.png
resnet101,1,28,0,bottle,airplane,28,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-keyboard2.png
resnet101,1,29,0,bottle,airplane,29,../stimuli/style-transfer-preprocessed-512\airplane\airplane3-oven1.png
resnet101,1,30,0,bottle,airplane,30,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-airplane1.png
resnet101,1,31,0,bottle,airplane,31,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bear3.png
resnet101,1,32,0,bottle,airplane,32,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bicycle2.png
resnet101,1,33,0,knife,airplane,33,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bird3.png
resnet101,1,34,0,bottle,airplane,34,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-boat3.png
resnet101,1,35,0,bottle,airplane,35,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-bottle1.png
resnet101,1,36,0,bottle,airplane,36,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-car1.png
resnet101,1,37,0,bottle,airplane,37,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-cat3.png
resnet101,1,38,0,knife,airplane,38,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-dog2.png
resnet101,1,39,0,bottle,airplane,39,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-elephant1.png
resnet101,1,40,0,bottle,airplane,40,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-keyboard3.png
resnet101,1,41,0,bottle,airplane,41,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-knife1.png
resnet101,1,42,0,bottle,airplane,42,../stimuli/style-transfer-preprocessed-512\airplane\airplane4-truck2.png
resnet101,1,43,0,bottle,airplane,43,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bear2.png
resnet101,1,44,0,bottle,airplane,44,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bicycle1.png
resnet101,1,45,0,bottle,airplane,45,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bird2.png
resnet101,1,46,0,bottle,airplane,46,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-boat3.png
resnet101,1,47,0,bottle,airplane,47,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-bottle3.png
resnet101,1,48,0,bottle,airplane,48,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-chair3.png
resnet101,1,49,0,bottle,airplane,49,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-dog3.png
resnet101,1,50,0,bottle,airplane,50,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-knife1.png
resnet101,1,51,0,bottle,airplane,51,../stimuli/style-transfer-preprocessed-512\airplane\airplane5-oven3.png
resnet101,1,52,0,bottle,airplane,52,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-bear3.png
resnet101,1,53,0,bottle,airplane,53,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-bottle2.png
resnet101,1,54,0,bottle,airplane,54,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-chair3.png
resnet101,1,55,0,bottle,airplane,55,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-keyboard3.png
resnet101,1,56,0,bottle,airplane,56,../stimuli/style-transfer-preprocessed-512\airplane\airplane6-knife1.png
resnet101,1,57,0,bottle,airplane,57,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-airplane3.png
resnet101,1,58,0,knife,airplane,58,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-bird3.png
resnet101,1,59,0,knife,airplane,59,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-boat2.png
resnet101,1,60,0,bottle,airplane,60,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-bottle3.png
resnet101,1,61,0,bottle,airplane,61,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-car1.png
resnet101,1,62,0,knife,airplane,62,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-cat3.png
resnet101,1,63,0,knife,airplane,63,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-clock3.png
resnet101,1,64,0,bottle,airplane,64,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-keyboard1.png
resnet101,1,65,0,bottle,airplane,65,../stimuli/style-transfer-preprocessed-512\airplane\airplane7-truck1.png
resnet101,1,66,0,bottle,airplane,66,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-bicycle3.png
resnet101,1,67,0,bottle,airplane,67,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-bird1.png
resnet101,1,68,0,bottle,airplane,68,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-chair1.png
resnet101,1,69,0,bottle,airplane,69,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-clock2.png
resnet101,1,70,0,bottle,airplane,70,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-elephant3.png
resnet101,1,71,0,knife,airplane,71,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-oven2.png
resnet101,1,72,0,knife,airplane,72,../stimuli/style-transfer-preprocessed-512\airplane\airplane8-truck3.png
resnet101,1,73,0,bottle,airplane,73,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-airplane2.png
resnet101,1,74,0,knife,airplane,74,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-boat1.png
resnet101,1,75,0,bottle,airplane,75,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-car2.png
resnet101,1,76,0,bottle,airplane,76,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-clock1.png
resnet101,1,77,0,bottle,airplane,77,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-keyboard2.png
resnet101,1,78,0,bottle,airplane,78,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-knife3.png
resnet101,1,79,0,bottle,airplane,79,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-oven2.png
resnet101,1,80,0,bottle,airplane,80,../stimuli/style-transfer-preprocessed-512\airplane\airplane9-truck1.png
resnet101,1,81,0,bottle,bear,81,../stimuli/style-transfer-preprocessed-512\bear\bear1-airplane3.png
resnet101,1,82,0,knife,bear,82,../stimuli/style-transfer-preprocessed-512\bear\bear1-bear3.png
resnet101,1,83,0,bottle,bear,83,../stimuli/style-transfer-preprocessed-512\bear\bear1-bicycle3.png
resnet101,1,84,0,knife,bear,84,../stimuli/style-transfer-preprocessed-512\bear\bear1-bird2.png
resnet101,1,85,0,bottle,bear,85,../stimuli/style-transfer-preprocessed-512\bear\bear1-chair2.png
resnet101,1,86,0,bottle,bear,86,../stimuli/style-transfer-preprocessed-512\bear\bear1-clock2.png
resnet101,1,87,0,bottle,bear,87,../stimuli/style-transfer-preprocessed-512\bear\bear1-elephant1.png
resnet101,1,88,0,bottle,bear,88,../stimuli/style-transfer-preprocessed-512\bear\bear10-bear2.png
resnet101,1,89,0,bottle,bear,89,../stimuli/style-transfer-preprocessed-512\bear\bear10-bottle1.png
resnet101,1,90,0,knife,bear,90,../stimuli/style-transfer-preprocessed-512\bear\bear10-car2.png
